SpikeMax,SpikeMin,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11
,,"{""RP11-46H11.3"", ""lincRNA:SLVRNA""}","{""ABR"", ""protein_coding:SLVRNA""}","{""HLA-DQB1"", ""protein_coding:SLVRNA""}","{""KIF27"", ""protein_coding:SLVRNA""}","{""SREBF1"", ""nonsense_mediated_decay:SLVRNA""}","{""VSIG10L"", ""nonsense_mediated_decay:SLVRNA""}","{""HYOU1"", ""protein_coding:SLVRNA""}","{""TGOLN2"", ""protein_coding:SLVRNA""}","{""RP11-159D12.2"", ""lincRNA:SLVRNA""}","{""DOK3"", ""protein_coding:SLVRNA""}","{""RCBTB1"", ""protein_coding:SLVRNA""}"
,,"{""GADD45B"", ""retained_intron:SLVRNA""}","{""OSMR"", ""protein_coding:SLVRNA""}","{""SNX10"", ""protein_coding:SLVRNA""}","{""CYB5R4"", ""protein_coding:SLVRNA""}","{""AGO2"", ""protein_coding:SLVRNA""}","{""CEACAM4"", ""protein_coding:SLVRNA""}","{""TAX1BP3"", ""protein_coding:SLVRNA""}","{""FAM129A"", ""processed_transcript:SLVRNA""}","{""LMNB2"", ""protein_coding:SLVRNA""}","{""YTHDF3"", ""protein_coding:SLVRNA""}","{""TPRN"", ""protein_coding:SLVRNA""}"
,,"{""COL7A1"", ""retained_intron:SLVRNA""}","{""CCR7"", ""protein_coding:SLVRNA""}","{""CCM2"", ""protein_coding:SLVRNA""}","{""ATG2B"", ""protein_coding:SLVRNA""}","{""CANT1"", ""protein_coding:SLVRNA""}","{""IFNGR1"", ""protein_coding:SLVRNA""}","{""RBM5"", ""retained_intron:SLVRNA""}","{""RAB11FIP1"", ""protein_coding:SLVRNA""}","{""MICAL2"", ""retained_intron:SLVRNA""}","{""BCL3"", ""protein_coding:SLVRNA""}","{""ARHGEF40"", ""retained_intron:SLVRNA""}"
,,"{""IMPA2"", ""retained_intron:SLVRNA""}","{""TIMP1"", ""protein_coding:SLVRNA""}","{""HOOK2"", ""protein_coding:SLVRNA""}","{""ROCK1"", ""protein_coding:SLVRNA""}","{""PIK3C3"", ""protein_coding:SLVRNA""}","{""CMTM6"", ""protein_coding:SLVRNA""}","{""PFKL"", ""retained_intron:SLVRNA""}","{""IRF1"", ""protein_coding:SLVRNA""}","{""FRMD4B"", ""protein_coding:SLVRNA""}","{""UBE2D3"", ""retained_intron:SLVRNA""}","{""PRDM4"", ""protein_coding:SLVRNA""}"
,,"{""SON"", ""protein_coding:SLVRNA""}","{""ARPC5"", ""processed_transcript:SLVRNA""}","{""HEXIM1"", ""protein_coding:SLVRNA""}","{""SLC30A9"", ""protein_coding:SLVRNA""}","{""TRADD"", ""protein_coding:SLVRNA""}","{""MAP2K4"", ""protein_coding:SLVRNA""}","{""LRRC25"", ""protein_coding:SLVRNA""}","{""YPEL3"", ""nonsense_mediated_decay:SLVRNA""}","{""PAPOLA"", ""protein_coding:SLVRNA""}","{""SRSF3"", ""retained_intron:SLVRNA""}","{""MAP3K5"", ""protein_coding:SLVRNA""}"
,,"{""TSTA3"", ""retained_intron:SLVRNA""}","{""RHOH"", ""protein_coding:SLVRNA""}","{""GNB1"", ""retained_intron:SLVRNA""}","{""TRAPPC12"", ""retained_intron:SLVRNA""}","{""TMCC3"", ""protein_coding:SLVRNA""}","{""RNF11"", ""protein_coding:SLVRNA""}","{""CNN2"", ""retained_intron:SLVRNA""}","{""SIPA1"", ""protein_coding:SLVRNA""}","{""RBM6"", ""nonsense_mediated_decay:SLVRNA""}","{""GGNBP2"", ""retained_intron:SLVRNA""}","{""PITPNA"", ""protein_coding:SLVRNA""}"
,,"{""ARL8B"", ""protein_coding:SLVRNA""}","{""PEA15"", ""protein_coding:SLVRNA""}","{""HMGB2"", ""protein_coding:SLVRNA""}","{""PPP1R12B"", ""protein_coding:SLVRNA""}","{""RELB"", ""protein_coding:SLVRNA""}","{""EXOC1"", ""protein_coding:SLVRNA""}","{""ADCY9"", ""protein_coding:SLVRNA""}","{""FERMT3"", ""retained_intron:SLVRNA""}","{""SP110"", ""retained_intron:SLVRNA""}","{""TNS3"", ""protein_coding:SLVRNA""}","{""BLCAP"", ""protein_coding:SLVRNA""}"
,,"{""KCTD20"", ""protein_coding:SLVRNA""}","{""CD83"", ""protein_coding:SLVRNA""}","{""STX11"", ""protein_coding:SLVRNA""}","{""TNIP2"", ""protein_coding:SLVRNA""}","{""PSMD13"", ""nonsense_mediated_decay:SLVRNA""}","{""CCDC88B"", ""protein_coding:SLVRNA""}","{""FOXC1"", ""protein_coding:SLVRNA""}","{""DSE"", ""protein_coding:SLVRNA""}","{""FCGRT"", ""retained_intron:SLVRNA""}","{""OSBP"", ""protein_coding:SLVRNA""}","{""C1RL"", ""protein_coding:SLVRNA""}"
,,"{""SCNN1G"", ""protein_coding:SLVRNA""}","{""COPE"", ""protein_coding:SLVRNA""}","{""ZNF710"", ""protein_coding:SLVRNA""}","{""CST7"", ""protein_coding:SLVRNA""}","{""NRAS"", ""protein_coding:SLVRNA""}","{""DNAJA2"", ""protein_coding:SLVRNA""}","{""VTA1"", ""protein_coding:SLVRNA""}","{""RPS6KA2"", ""protein_coding:SLVRNA""}","{""UBE4A"", ""protein_coding:SLVRNA""}","{""C15orf48"", ""protein_coding:SLVRNA""}","{""TM9SF1"", ""protein_coding:SLVRNA""}"
,,"{""MPRIP"", ""protein_coding:SLVRNA""}","{""PSME4"", ""retained_intron:SLVRNA""}","{""TNKS1BP1"", ""protein_coding:SLVRNA""}","{""NUMB"", ""retained_intron:SLVRNA""}","{""MARCH6"", ""protein_coding:SLVRNA""}","{""CTSS"", ""processed_transcript:SLVRNA""}","{""DNAJB12"", ""protein_coding:SLVRNA""}","{""DAPP1"", ""retained_intron:SLVRNA""}","{""HOMER3"", ""protein_coding:SLVRNA""}","{""SP140"", ""protein_coding:SLVRNA""}","{""IL13RA1"", ""protein_coding:SLVRNA""}"
